# FP1-F7,C3-P3,C4-P4,CZ-PZ,F3-C3,F4-C4,F7-T7,F8-T8,FP1-F3,FP2-F4,FP2-F8,FT10-T8,FT9-FT10,FZ-CZ,P3-O1,P4-O2,P7-O1,P7-T7,P8-O2,T7-FT9,T7-P7,T8-P8-0,T8-P8-1,Outcome
-1.89e-05,5.5700000000000005e-05,5.18e-05,5.45e-05,0.000114676,0.000141636,-3.32e-06,0.0001396829999999,-1.82e-05,3.77e-05,0.000134994,4.04e-05,0.0001885229999999,0.000102564,7.37e-05,8.379999999999999e-05,3.2200000000000003e-05,-0.000217045,-5.33e-05,6.45e-06,0.000217436,9.47e-05,9.47e-05,1.0
1.5e-05,2.05e-05,-4.1200000000000005e-05,-1.47e-05,-7.64e-05,-4.36e-05,-1.5399999999999998e-05,-8.03e-05,0.0001220999999999,4e-05,3.26e-05,-5.27e-06,8.26e-05,-9.71e-05,-2.21e-05,6.31e-05,-5.67e-06,-4.98e-05,3.2200000000000003e-05,-3.81e-05,5.02e-05,3.3799999999999995e-05,3.3799999999999995e-05,0.0
5.27e-06,6.06e-06,-2.87e-05,2.93e-06,2.36e-05,2.87e-05,4.71e-05,1.97e-05,5.02e-05,4.63e-05,-1.95e-07,1.15e-05,-1.5399999999999998e-05,1.74e-05,-3.03e-05,-2.25e-05,7.13e-05,7.48e-05,-2.15e-06,-2.4e-05,-7.44e-05,5.27e-06,5.27e-06,0.0
-6.12e-05,-1.44e-05,-0.00010989,-9.35e-05,4.48e-05,7.47e-05,1.67e-05,3.81e-06,7.65e-05,7.47e-05,3.96e-05,6.3e-05,5.7700000000000007e-05,2.26e-05,-0.000184322,-0.000135092,-8.290000000000001e-05,-5.01e-05,-2.05e-06,-2.7300000000000003e-05,5.07e-05,-0.000135678,-0.000135678,1.0
-3.929999999999999e-05,-1.62e-05,-1.93e-05,-1.31e-05,-1.47e-05,-2.17e-05,1.76e-06,-4e-05,-9.18e-06,6.45e-06,2.44e-05,-3.61e-05,8.22e-05,-1.04e-05,1.39e-05,-4.88e-06,1.04e-05,9.77e-07,-1.15e-05,-1.76e-06,-5.86e-07,-1.19e-05,-1.19e-05,0.0
2.56e-05,3.3799999999999995e-05,4.63e-05,4.3200000000000007e-05,4.94e-05,8.149999999999999e-05,-3.32e-06,-1.04e-05,-3.77e-05,-1.39e-05,2.95e-05,1.82e-05,4.49e-06,8.420000000000001e-05,-4.88e-06,-5.88e-05,-1.76e-06,-2.01e-05,-1.95e-07,9.96e-06,2.05e-05,3.69e-05,3.69e-05,0.0
8.809999999999999e-05,0.00011116,6.31e-05,4e-05,9.77e-07,-8.62e-05,-0.0001877409999999,-0.000167033,-0.000108425,-0.000128742,-0.000252991,-3.46e-05,-0.000111941,3.73e-05,-4.63e-05,-6.74e-05,-0.000130305,-0.00018696,0.000209231,-2.36e-05,0.00018735,-9.18e-06,-9.18e-06,1.0
-4.16e-05,-2.52e-05,-2.29e-05,-2.01e-05,1.11e-05,-6.19e-05,-2.01e-05,-2.09e-05,-6.15e-05,5.920000000000001e-05,-1.31e-05,-4.9e-05,4.63e-05,-5.53e-05,-4.9e-05,-5.37e-05,-1.62e-05,4.55e-05,-6.659999999999999e-05,1.95e-07,-4.51e-05,2.05e-05,2.05e-05,0.0
-1.95e-07,4.94e-05,5.76e-05,3.18e-05,1.74e-05,2.79e-05,-2.25e-05,6.82e-05,-3.18e-05,-3.2200000000000003e-05,1.39e-05,5.720000000000001e-05,-6.84e-06,-2.93e-06,2.64e-05,5.610000000000001e-05,5.96e-05,-2.56e-05,1.37e-06,4.08e-05,2.6e-05,2.6e-05,2.6e-05,0.0
8.809999999999999e-05,-1.04e-05,0.000109597,2.87e-05,3.26e-05,5.02e-05,8.79e-06,4.67e-05,3.34e-05,-0.000116239,-4.9e-05,-6.620000000000001e-05,-0.000129524,0.0001154579999999,5.65e-05,0.000135775,2.56e-05,9.18e-06,0.000122491,1.62e-05,-8.79e-06,6e-05,6e-05,1.0
1.39e-05,9.77e-07,1.4300000000000002e-05,1.76e-06,-4.49e-06,2.87e-05,-1.37e-06,-4.88e-06,1.93e-05,1.07e-05,1.15e-05,-7.23e-06,-3.26e-05,3.4200000000000005e-05,1.95e-07,2.8300000000000003e-05,8.01e-06,4.1e-06,3.4200000000000005e-05,9.96e-06,-3.71e-06,4.1200000000000005e-05,4.1200000000000005e-05,0.0
-0.000254945,-0.000101783,-0.00024674,-0.000202979,-7.56e-05,-3.03e-05,-5.76e-05,-7.829999999999999e-05,-8.58e-05,4.9e-05,-0.000136166,0.000156484,0.000173284,-0.000231111,-0.000168205,-0.000320586,-0.000101392,1.86e-05,-0.000153358,-3.89e-05,-1.82e-05,-0.000178364,-0.000178364,0.0
-1.89e-05,2.93e-06,1.27e-05,5.27e-06,5.14e-05,5.68e-05,8.01e-06,1.97e-05,1.27e-05,3.03e-05,2.87e-05,2.9100000000000003e-05,3.54e-05,5.22e-05,-3.3e-05,-3.07e-05,-7.23e-06,-5.14e-05,1.95e-07,-3.34e-05,5.18e-05,1.93e-05,1.93e-05,0.0
4.49e-06,-0.00017602,-6e-05,-6.94e-05,-0.000168596,-4.55e-05,-0.000152967,5.27e-06,3.11e-05,2.9100000000000003e-05,-4.04e-05,-6.45e-06,-4.59e-05,-5.41e-05,2.95e-05,-2.56e-05,2.09e-05,0.000157656,-3.71e-06,7.25e-05,-0.000157265,-6.31e-05,-6.31e-05,0.0
1.5e-05,-3.73e-05,-4.94e-05,-4.36e-05,-1.7800000000000002e-05,1.19e-05,9.57e-06,-3.3799999999999995e-05,1.27e-05,-5.67e-06,1.5399999999999998e-05,-1.76e-06,-1.95e-07,-1.23e-05,-4.2e-05,-6.08e-05,-0.000107253,4.49e-06,-1.66e-05,-1.74e-05,-4.1e-06,-6.9e-05,-6.9e-05,0.0
2.29e-05,1.74e-05,1.5e-05,6.06e-06,-3.32e-06,2.75e-05,4.1e-06,6.45e-06,2.68e-05,9.18e-06,1.74e-05,-1.76e-06,-8.690000000000001e-05,2.9100000000000003e-05,4.1e-06,-1.11e-05,-1.93e-05,-3.77e-05,3.4200000000000005e-05,6.74e-05,3.81e-05,-1.66e-05,-1.66e-05,0.0
1.35e-05,-2.09e-05,1.35e-05,-1.15e-05,-7.79e-05,1.47e-05,-2.48e-05,4.24e-05,8.340000000000001e-05,8.4e-06,2.05e-05,3.97e-05,2.09e-05,-4.1e-06,-1.31e-05,-6.579999999999999e-05,1.7800000000000002e-05,3.54e-05,-2.64e-05,1.76e-06,-3.5e-05,-6.54e-05,-6.54e-05,0.0
1.93e-05,2.99e-05,3.81e-05,1.11e-05,5.22e-05,1.97e-05,5.45e-05,2.17e-05,-1.76e-06,1.89e-05,1.5399999999999998e-05,1.37e-06,-2.52e-05,3.85e-05,-6.84e-06,-5.27e-06,-3.11e-05,-2.99e-05,-3.32e-06,-2.75e-05,3.03e-05,3.69e-05,3.69e-05,0.0
0.000413968,-1.74e-05,3.5e-05,-5.67e-06,3.77e-05,0.000135775,-7.09e-05,0.0003260559999999,0.000262759,0.00021431,2.15e-06,5.06e-05,-0.000260415,8.3e-05,6.08e-05,2.99e-05,0.000197509,0.000195165,1.58e-05,7.56e-05,-0.000194774,7.13e-05,7.13e-05,0.0
-3.3e-05,3.32e-06,-2.93e-06,-1.37e-06,1.11e-05,1.95e-07,1.5e-05,-2.17e-05,-2.01e-05,-7.23e-06,7.23e-06,-5.27e-06,2.68e-05,1.04e-05,1.35e-05,-4.88e-06,2.09e-05,-4.1e-06,6.84e-06,-4.49e-06,4.49e-06,-9.18e-06,-9.18e-06,0.0
-4.28e-05,-4.88e-06,2.93e-06,-7.62e-06,-1.89e-05,-1.11e-05,5.27e-06,-3.32e-06,-6.23e-05,-5.53e-05,-5.88e-05,3.73e-05,-4.3200000000000007e-05,-8.4e-06,1.27e-05,1.11e-05,5.86e-07,3.73e-05,7.62e-06,-3.58e-05,-3.69e-05,2.15e-06,2.15e-06,0.0
-0.000536264,0.000200244,-2.25e-05,-2.72e-05,-0.000343639,-0.000168596,-0.000276044,4.9e-05,-0.000335433,-8.690000000000001e-05,-0.000125617,0.000169377,0.0002799509999999,-0.000246349,-0.000222515,4.2e-05,0.0003534069999999,0.000242833,-5.68e-05,3.11e-05,-0.000242442,-0.000103736,-0.000103736,1.0
2.15e-06,2.09e-05,2.44e-05,2.64e-05,-7.23e-06,-2.15e-06,-4.4e-05,5.67e-06,-3.2200000000000003e-05,-3.77e-05,-3.69e-05,6.45e-06,-7.170000000000001e-05,-1.47e-05,3.81e-05,1.66e-05,-1.07e-05,-7.209999999999999e-05,-4.71e-05,5.33e-05,7.25e-05,8.26e-05,8.26e-05,0.0
-0.000106471,1.37e-06,-4.04e-05,-1.39e-05,-0.0001154579999999,-6.51e-05,-2.75e-05,-0.000101001,-1.11e-05,-2.44e-05,-6.27e-05,-6.74e-05,-7.23e-06,-4.429999999999999e-05,1.82e-05,5.14e-05,4.67e-05,1.82e-05,4.94e-05,-1.35e-05,-1.7800000000000002e-05,3.5e-05,3.5e-05,0.0
-3.11e-05,1.35e-05,7.62e-06,1.97e-05,-2.13e-05,1.04e-05,0.00012757,-3.71e-06,2.87e-05,-2.15e-06,6.84e-06,-2.4e-05,3.97e-05,5.67e-06,-1.27e-05,2.13e-05,-1.66e-05,6.94e-05,1.66e-05,-0.000128742,-6.9e-05,1.74e-05,1.74e-05,0.0
-9.96e-06,4.16e-05,8.03e-05,5.610000000000001e-05,6.94e-05,6.620000000000001e-05,5.06e-05,0.000141245,-0.000101392,-5.53e-05,-3.03e-05,8.46e-05,5.610000000000001e-05,0.000191648,0.000101783,9.55e-05,9.87e-05,2.64e-05,-3.61e-05,-2.44e-05,-2.6e-05,0.000113895,0.000113895,1.0
-2.64e-05,-8.190000000000001e-05,-7.87e-05,-1.5399999999999998e-05,4.1200000000000005e-05,-0.000116239,-3.15e-05,-2.44e-05,5.67e-06,-3.03e-05,1.95e-07,-3.2200000000000003e-05,-0.000112723,6.43e-05,-7.09e-05,0.0001725029999999,-4.4e-05,2.54e-06,-0.000128352,3.5e-05,-2.15e-06,9.940000000000002e-05,9.940000000000002e-05,1.0
-2.25e-05,-9.77e-07,4.49e-06,4.49e-06,2.54e-06,-4.88e-06,-1.66e-05,-1.58e-05,-4.429999999999999e-05,-1.93e-05,-2.75e-05,-6.45e-06,1.11e-05,-1.76e-06,-4.9e-05,-5.37e-05,-1.39e-05,3.85e-05,-1.86e-05,-2.54e-06,-3.81e-05,-9.96e-06,-9.96e-06,0.0
0.000133919,3.9e-05,1.55e-05,0.000102271,0.000111062,0.000375385,9.64e-05,0.000149744,-0.000129231,-3.37e-05,5.660000000000001e-05,5.25e-05,-0.000131575,0.0002323809999999,-0.000154432,-2.14e-05,-9.52e-05,0.000268718,-6.42e-05,-1.3800000000000002e-05,-0.000268132,0.000190769,0.000190769,1.0
-8.89e-05,-2.17e-05,-6.7e-05,-3.97e-05,3.2200000000000003e-05,-0.000208059,0.000345983,-0.000545641,-9.05e-05,-0.000175238,0.000253773,-0.0004460069999999,-0.000175238,-0.000243614,-0.000466325,0.000133822,-0.000533919,0.000269402,-2.8300000000000003e-05,-0.000101392,-0.000269011,2.93e-06,2.93e-06,1.0
0.000138901,8.690000000000001e-05,0.000255726,0.0003283999999999,0.000500708,0.0004155309999999,1.35e-05,0.000215482,-0.000594481,-0.000463199,0.000435067,-1.19e-05,0.00011663,0.000376068,0.000154139,0.00019243,-0.000133431,-0.000128742,-0.0001994629999999,0.000154139,0.000129133,-4.94e-05,-4.94e-05,1.0
-0.000118193,-0.0001850059999999,-7.09e-05,-9.2e-05,-9.44e-05,-5.1e-05,-0.000421001,-5.88e-05,0.000129524,0.0001740659999999,-0.000108034,5.5700000000000005e-05,5.76e-05,-4.88e-06,-4.4e-05,-4.9e-05,0.00031707,-2.72e-05,0.000134994,0.000246349,2.75e-05,3.26e-05,3.26e-05,1.0
-7.62e-06,-2.9100000000000003e-05,-1.31e-05,-8.79e-06,-1.5399999999999998e-05,-3.69e-05,-1.5399999999999998e-05,-1.31e-05,-4.4e-05,2.79e-05,-7.62e-06,-2.54e-06,-7.049999999999999e-05,-3.5e-05,-3.65e-05,-3.34e-05,-3.3799999999999995e-05,6.86e-05,2.93e-06,7.01e-05,-6.82e-05,-3.69e-05,-3.69e-05,0.0
7.13e-05,-9.51e-05,-0.000135775,-9.98e-05,-0.000207277,-0.000105299,-4.4e-05,-0.000218217,8.3e-05,-0.000124835,-9.47e-05,-0.000126398,-0.000300269,-2.13e-05,6.19e-05,8.809999999999999e-05,-0.000208449,-2.29e-05,0.000151013,-8.26e-05,2.32e-05,-0.0001154579999999,-0.0001154579999999,1.0
0.000140855,-0.0001049079999999,-4.59e-05,-0.000151795,-9.18e-06,-0.000126789,7.91e-05,-0.000308864,0.0001959459999999,2.25e-05,-0.000201807,-0.00023072,-0.000390916,1.95e-07,4.88e-06,-7.23e-06,-5.06e-05,8.3e-05,0.000313944,-2.95e-05,-8.26e-05,3.77e-05,3.77e-05,1.0
0.0001005129999999,-0.000319707,0.000123956,-0.000200733,0.0003326009999999,-0.000215385,0.00032381,-3.3100000000000005e-05,2.26e-05,-2.2e-05,-0.000145641,-6.01e-05,-0.000322637,0.000240586,-0.000217143,6.829999999999999e-05,-0.000122784,0.000484396,1.26e-05,-0.000138022,-0.00048381,0.0001221979999999,0.0001221979999999,1.0
8.379999999999999e-05,-2.6e-05,-5.920000000000001e-05,-7.209999999999999e-05,-4.51e-05,-4.88e-06,-6.86e-05,6.19e-05,-0.000211184,-0.000146716,2.68e-05,6.9e-05,-1.82e-05,3.46e-05,5.68e-05,2.21e-05,-0.000101783,0.000140464,-6.78e-05,-3.929999999999999e-05,-0.000140073,-0.0002119659999999,-0.0002119659999999,0.0
2.17e-05,-1.89e-05,-3.34e-05,-0.000121709,-2.44e-05,-4.16e-05,-2.99e-05,-2.25e-05,1.23e-05,1.66e-05,-9.18e-06,-1.5399999999999998e-05,-1.82e-05,-1.97e-05,-1.7800000000000002e-05,-1.35e-05,-5.86e-07,4e-05,-5.67e-06,7.23e-06,-3.97e-05,-3.26e-05,-3.26e-05,0.0
0.000219389,-0.000381929,-0.000113504,-0.000147106,0.0002389259999999,-8.420000000000001e-05,0.000205324,-0.000105299,0.000106862,0.0001049079999999,4.86e-05,-1.93e-05,-3.65e-05,-3.81e-05,-0.0002443959999999,-0.000209231,-0.000519463,0.00018735,-0.000167424,-0.0001928209999999,-0.00018696,-7.79e-05,-7.79e-05,1.0
1.04e-05,1.15e-05,3.81e-05,9.18e-06,-3.929999999999999e-05,-2.8300000000000003e-05,-3.34e-05,-2.72e-05,-1.86e-05,-3.929999999999999e-05,-1.7800000000000002e-05,-9.96e-06,-4.4e-05,-3.3e-05,-2.99e-05,-2.01e-05,-4.1e-06,4.98e-05,2.48e-05,4.59e-05,-4.94e-05,-3.03e-05,-3.03e-05,0.0
-8.58e-05,-0.00011116,-0.0001346029999999,-0.00018149,-8.62e-05,-0.000101001,4.24e-05,-0.00027917,9.4e-05,9.4e-05,-0.000270183,-0.000107253,-0.000334261,-0.000113895,-0.0001959459999999,-0.000175238,-0.000124835,0.000131477,0.000177192,-0.000122491,-0.000131087,5.45e-05,5.45e-05,1.0
1.95e-07,1.95e-07,3.77e-05,-3.26e-05,4.88e-06,-5.27e-06,5.27e-06,-5.86e-07,1.7e-05,1.95e-07,2.72e-05,1.95e-07,1.4300000000000002e-05,-7.62e-06,-5.27e-06,-9.57e-06,1.97e-05,9.96e-06,9.18e-06,-9.77e-07,-9.57e-06,-1.5399999999999998e-05,-1.5399999999999998e-05,0.0
-2.29e-05,5.27e-06,-1.04e-05,-9.77e-07,-2.54e-06,-4.49e-06,8.4e-06,8.79e-06,-4.49e-06,1.19e-05,1.89e-05,2.17e-05,4.1200000000000005e-05,-2.93e-06,-9.57e-06,-4.88e-06,5.86e-07,-1.76e-06,-1.93e-05,-1.31e-05,2.15e-06,-1.7e-05,-1.7e-05,0.0
4.94e-05,1.04e-05,2.09e-05,2.52e-05,-2.36e-05,3.81e-05,-3.5e-05,5.22e-05,4.83e-05,2.13e-05,1.58e-05,1.31e-05,-3.97e-05,1.11e-05,2.95e-05,2.36e-05,2.09e-05,-2.8300000000000003e-05,-7.23e-06,4.36e-05,2.87e-05,4.36e-05,4.36e-05,0.0
-9.57e-06,-9.77e-07,2.09e-05,8.79e-06,5.86e-07,-1.27e-05,8.01e-06,1.74e-05,-8.4e-06,-5.27e-06,-1.35e-05,1.15e-05,3.71e-06,1.27e-05,3.58e-05,1.04e-05,2.17e-05,-5.67e-06,3.32e-06,-7.62e-06,6.06e-06,6.06e-06,6.06e-06,0.0
6.84e-06,1.93e-05,-1.95e-07,3.03e-05,6.84e-06,2.95e-05,-1.37e-06,5.33e-05,6.84e-06,9.77e-07,2.68e-05,3.5e-05,5.86e-07,-1.95e-07,2.64e-05,6.7e-05,9.05e-05,3.61e-05,5.88e-05,4.59e-05,-3.58e-05,-4.16e-05,-4.16e-05,0.0
-2.17e-05,6.74e-05,2.44e-05,6.9e-05,3.5e-05,2.21e-05,-9.96e-06,-4.71e-05,-3.32e-06,-8.4e-06,2.09e-05,-3.18e-05,2.32e-05,-2.15e-06,-0.0001099879999999,-7.759999999999999e-05,-0.0001045179999999,-0.000126007,-6.54e-05,2.25e-05,0.000126398,5.260000000000001e-05,5.260000000000001e-05,0.0
-6.65e-05,0.000145641,0.000330842,0.0001198529999999,6.01e-05,0.000128645,-2.67e-05,-0.000146227,-0.000185495,-0.00047619,-0.000119267,-0.000151502,0.000174359,0.000227692,-0.000204835,-0.000248791,1.9e-05,0.000112821,-0.000247033,-9.82e-05,-0.000112234,0.000249377,0.000249377,1.0
2.52e-05,-1.58e-05,-2.68e-05,-3.26e-05,-8.73e-05,-1.37e-06,-2.95e-05,-2.36e-05,0.000152186,6.97e-05,-9.96e-06,1.4300000000000002e-05,-2.05e-05,-3.5e-05,-2.54e-06,1.76e-06,3.58e-05,-1.27e-05,6.04e-05,-2.79e-05,1.31e-05,1.62e-05,1.62e-05,0.0
9.36e-05,1.86e-05,-3.5e-05,0.000128742,0.000145934,0.000451868,6.51e-05,0.000216654,-2.99e-05,-0.0004041999999999,-1.86e-05,-0.000128352,-0.000378413,0.0002373629999999,-0.000174847,0.000222515,-0.0002256409999999,-2.52e-05,-0.000171722,-4.79e-05,2.56e-05,0.00020884,0.00020884,1.0
1.93e-05,-4.429999999999999e-05,-4.88e-06,-1.07e-05,-7.62e-06,-1.47e-05,-2.8300000000000003e-05,1.5e-05,6.620000000000001e-05,5.06e-05,9.57e-06,-2.54e-06,1.89e-05,-7.48e-05,-7.79e-05,-2.25e-05,-0.00013812,-8.26e-05,-1.04e-05,1.89e-05,8.3e-05,-6.84e-06,-6.84e-06,0.0
